scale,sample,group,word_length_dist,function_word_freq,char_ngrams,word_bigrams,sentence_stats,punct_dist,ttr,hapax_ratio,weighted_total
1k,杨戴/阿Q正传__chunk001,杨戴,0.989864,0.933686,0.871360,0.705436,0.776803,0.991557,0.932851,0.920003,0.894175
1k,杨戴/阿Q正传__chunk002,杨戴,0.976196,0.949168,0.901318,0.592562,0.721483,0.974028,0.987445,0.979410,0.882288
1k,杨戴/阿Q正传__chunk003,杨戴,0.994178,0.920375,0.839418,0.676494,0.786109,0.958572,0.976552,0.946203,0.886337
1k,杨戴/阿Q正传__chunk004,杨戴,0.994411,0.908683,0.918282,0.759721,0.758139,0.997715,0.975577,0.992160,0.904555
1k,杨戴/阿Q正传__chunk005,杨戴,0.994800,0.917453,0.861206,0.542043,0.910504,0.996330,0.972954,0.945983,0.884177
1k,杨戴/阿Q正传__chunk006,杨戴,0.990752,0.944151,0.914832,0.804539,0.781230,0.982056,0.992614,0.961445,0.921508
1k,杨戴/阿Q正传__chunk007,杨戴,0.995838,0.923875,0.904423,0.723278,0.941546,0.986546,0.972652,0.974480,0.918585
1k,杨戴/阿Q正传__chunk008,杨戴,0.994869,0.916038,0.901346,0.583274,0.845850,0.994214,0.991269,0.992160,0.889309
1k,杨戴/阿Q正传__chunk009,杨戴,0.997359,0.928181,0.887999,0.695572,0.865619,0.982606,0.962296,0.917312,0.902974
1k,杨戴/阿Q正传__chunk010,杨戴,0.994277,0.939893,0.910017,0.784983,0.730018,0.995098,0.985071,0.993451,0.915090
1k,杨戴/阿Q正传__chunk011,杨戴,0.984026,0.917058,0.911149,0.643888,0.855911,0.991984,0.949466,0.945258,0.892259
1k,杨戴/阿Q正传__chunk012,杨戴,0.997515,0.958387,0.888422,0.678821,0.872997,0.981490,0.967048,0.953426,0.912411
1k,杨戴/阿Q正传__chunk013,杨戴,0.996738,0.955143,0.886451,0.795092,0.870387,0.996420,0.992614,0.993153,0.935224
1k,杨戴/阿Q正传__chunk014,杨戴,0.996073,0.920320,0.830098,0.660997,0.653333,0.981645,0.914775,0.895643,0.865198
1k,杨戴/阿Q正传__chunk015,杨戴,0.994825,0.915327,0.877226,0.740402,0.901889,0.994978,0.945664,0.866751,0.906342
1k,杨戴/阿Q正传__chunk016,杨戴,0.997644,0.959817,0.900846,0.627723,0.904389,0.998602,0.948989,0.954381,0.909758
1k,杨戴/阿Q正传__chunk017,杨戴,0.998164,0.937836,0.901578,0.730233,0.907723,0.996944,0.945178,0.904675,0.915846
1k,杨戴/风波__chunk001,杨戴,0.986567,0.944668,0.844705,0.796264,0.944564,0.993377,0.953396,0.995033,0.932286
1k,杨戴/风波__chunk002,杨戴,0.994786,0.958076,0.830285,0.708444,0.887365,0.980923,0.965192,0.916450,0.912899
1k,杨戴/风波__chunk003,杨戴,0.996903,0.965022,0.829695,0.778607,0.886268,0.980781,0.993966,0.976071,0.931417
1k,蓝/伤逝__chunk001,蓝,0.993517,0.911837,0.845376,0.718446,0.772036,0.978144,0.991800,0.975816,0.894834
1k,蓝/伤逝__chunk002,蓝,0.995373,0.858134,0.870807,0.566952,0.852029,0.992919,0.997237,0.996317,0.869241
1k,蓝/伤逝__chunk003,蓝,0.997816,0.899323,0.881946,0.616628,0.878777,0.985040,0.983016,0.976363,0.888923
1k,蓝/伤逝__chunk004,蓝,0.995099,0.913125,0.839627,0.621090,0.918314,0.992026,0.933255,0.901430,0.887624
1k,蓝/伤逝__chunk005,蓝,0.994088,0.869657,0.906957,0.615512,0.978319,0.993640,0.987478,0.988014,0.893007
1k,蓝/伤逝__chunk006,蓝,0.994420,0.886954,0.870921,0.725783,0.970147,0.988955,0.985331,0.981877,0.910927
1k,蓝/伤逝__chunk007,蓝,0.995042,0.870518,0.885052,0.726306,0.869367,0.994907,0.997321,0.997417,0.899634
1k,蓝/在酒楼上__chunk001,蓝,0.987638,0.930170,0.899627,0.793565,0.905641,0.992847,0.988644,0.977858,0.929079
1k,蓝/在酒楼上__chunk002,蓝,0.995850,0.944094,0.896466,0.728469,0.972570,0.992597,0.948699,0.850823,0.920465
1k,蓝/在酒楼上__chunk003,蓝,0.995218,0.870151,0.875066,0.673820,0.868646,0.993857,0.894436,0.848509,0.873206
1k,蓝/在酒楼上__chunk004,蓝,0.989510,0.841711,0.878901,0.625022,0.866958,0.992370,0.873685,0.793891,0.851777
1k,蓝/奔月__chunk001,蓝,0.998267,0.975999,0.934414,0.838150,0.849104,0.994863,0.988714,0.965118,0.946337
1k,蓝/奔月__chunk002,蓝,0.993569,0.961936,0.886835,0.764126,0.787166,0.979508,0.982375,0.992970,0.920427
1k,蓝/奔月__chunk003,蓝,0.996694,0.955315,0.916302,0.803694,0.817275,0.987333,0.967650,0.943760,0.926414
1k,蓝/奔月__chunk004,蓝,0.991267,0.941932,0.858151,0.767824,0.783129,0.989549,0.925286,0.909127,0.904518
1k,蓝/孤独者__chunk001,蓝,0.991727,0.952672,0.880230,0.759177,0.845423,0.992267,0.992824,0.975816,0.924318
1k,蓝/孤独者__chunk002,蓝,0.997264,0.957086,0.915469,0.708435,0.939987,0.995501,0.974736,0.978837,0.928630
1k,蓝/孤独者__chunk003,蓝,0.989455,0.910579,0.870765,0.650554,0.890296,0.975632,0.970762,0.977339,0.894558
1k,蓝/孤独者__chunk004,蓝,0.996348,0.929469,0.902533,0.830329,0.859387,0.968080,0.961936,0.923570,0.921674
1k,蓝/孤独者__chunk005,蓝,0.995480,0.834727,0.829268,0.645663,0.906095,0.996341,0.970762,0.955199,0.873176
1k,蓝/孤独者__chunk006,蓝,0.991490,0.815946,0.870059,0.667929,0.800390,0.978454,0.963180,0.941606,0.857830
